x=T/M_DM				 dN/dlgx
1.995262314969217571e-04 0.000000000000000000e+00
2.238721138568722409e-04 1.000836955365962580e-05
2.511886431510013768e-04 6.313441932510685104e-06
2.818382931264945069e-04 7.079903442429003725e-06
3.162277660168935590e-04 4.465699696788896875e-06
3.548133892336384227e-04 1.251829291993926499e-05
3.981071705535685844e-04 6.316060228563526479e-06
4.466835921510438757e-04 3.540582707051996477e-06
5.011872336273637089e-04 5.953751817358356439e-06
5.623413251904526384e-04 9.385128619562062150e-06
6.309573444803104033e-04 5.259627363481542312e-06
7.079457843842705067e-04 8.841862974791645191e-06
7.943282347244315844e-04 1.857761088508803744e-05
8.912509381339153930e-04 5.276594776801042907e-05
1.000000000000192141e-03 1.836312231903812470e-05
1.122018454302180961e-03 1.542604715733016587e-05
1.258925411794413387e-03 4.090489541863118227e-05
1.412537544623032821e-03 2.828718738834272941e-05
1.584893192461428501e-03 3.914476535493084295e-05
1.778279410039279237e-03 4.599632730070912995e-05
1.995262314969282677e-03 6.698810975003756580e-05
2.238721138568795701e-03 6.042877799997864089e-05
2.511886431510095951e-03 6.611609371414659290e-05
2.818382931265037226e-03 8.938182161990399258e-05
3.162277660169039023e-03 8.001352151137085256e-05
3.548133892336500454e-03 8.893353727420430369e-05
3.981071705535815623e-03 1.150876962130346020e-04
4.466835921510584582e-03 8.948441731812043485e-05
5.011872336273801021e-03 1.420035688521120644e-04
5.623413251904709614e-03 7.005411992170340369e-05
6.309573444803310248e-03 1.052604640026394303e-04
7.079457843842937304e-03 1.057005834778385083e-04
7.943282347244576269e-03 1.118460752980545206e-04
8.912509381339445147e-03 8.787414693901669208e-05
1.000000000000225014e-02 1.100505606036004930e-04
1.122018454302217694e-02 9.153801369610122278e-05
1.258925411794454587e-02 8.696522112510602384e-05
1.412537544623078921e-02 7.420571212514304594e-05
1.584893192461480499e-02 8.975990386320631886e-05
1.778279410039337524e-02 7.269223494884807075e-05
1.995262314969347903e-02 8.229591723154798164e-05
2.238721138568868993e-02 7.589847270061877093e-05
2.511886431510177917e-02 6.398745220738196880e-05
2.818382931265129426e-02 5.179405249608839447e-05
3.162277660169142413e-02 3.864544906594371898e-05
3.548133892336616940e-02 4.167306987849291749e-05
3.981071705535946248e-02 3.061248185375794171e-05
4.466835921510731167e-02 2.981707720644829562e-05
5.011872336273964779e-02 2.201176803305606456e-05
5.623413251904894189e-02 1.893279148455286629e-05
6.309573444803516507e-02 1.614483343581806722e-05
7.079457843843169063e-02 1.173737638110628425e-05
7.943282347244835784e-02 7.340017423984662480e-06
8.912509381339737968e-02 5.806454826891850778e-06
1.000000000000257627e-01 4.219506757473253247e-06
1.122018454302254331e-01 3.061363398579233346e-06
1.258925411794495630e-01 2.320329877564964520e-06
1.412537544623125307e-01 1.808718169849918882e-06
1.584893192461532263e-01 1.362554493218001586e-06
1.778279410039395603e-01 1.076928599770542374e-06
1.995262314969413198e-01 8.931912887155855370e-07
2.238721138568942060e-01 7.638171511769163388e-07
2.511886431510260143e-01 4.893102735064429213e-07
2.818382931265221436e-01 3.058639269720589953e-07
3.162277660169245941e-01 1.598780520163651272e-07
3.548133892336732820e-01 8.315750311761264856e-08
3.981071705536076699e-01 5.288096769472009305e-08
4.466835921510877161e-01 2.179830848566099790e-08
5.011872336274129092e-01 1.030563204003819020e-08
5.623413251905078347e-01 2.948240778494971662e-09
6.309573444803723286e-01 9.288355229215351998e-10
7.079457843843400822e-01 2.277113198703758292e-10
7.943282347245095298e-01 1.133590401727294628e-10
8.912509381340029124e-01 8.023634301633991368e-12
1.000000000000000000e+00 0.000000000000000000e+00
